ADV,Company,booth,Parent,Child
,Conveyor Eng & Mfg.,A1252,Feed Equipment & Supplies,Mixers (2116)
,Easy Automation Inc.,A2633,Feed Equipment & Supplies,Mixers (2116)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Mixers (2116)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Mixers (2116)
,Halverson Company,A2321,Feed Equipment & Supplies,Mixers (2116)
,Handtmann Inc.,C19149,Feed Equipment & Supplies,Mixers (2116)
,Hayes & Stolz Ind. Mfg. Co.,A2333,Feed Equipment & Supplies,Mixers (2116)
,KSE - The Batching Experts,A3027,Feed Equipment & Supplies,Mixers (2116)
,Law-Marot-Milpro,A323,Feed Equipment & Supplies,Mixers (2116)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Mixers (2116)
,Metalteco,A1800,Feed Equipment & Supplies,Mixers (2116)
,Molinos Azteca y Juper,A325,Feed Equipment & Supplies,Mixers (2116)
,NOMA,C20129,Feed Equipment & Supplies,Mixers (2116)
,PreciPak USA,C44151,Feed Equipment & Supplies,Mixers (2116)
,Provisur Technologies,C20159,Feed Equipment & Supplies,Mixers (2116)
,RMF,C25147,Feed Equipment & Supplies,Mixers (2116)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Mixers (2116)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Mixers (2116)
,Sterling Systems & Controls,A1121,Feed Equipment & Supplies,Mixers (2116)
,Sudenga Industries Inc.,A833,Feed Equipment & Supplies,Mixers (2116)
,VANTEC,C19175,Feed Equipment & Supplies,Mixers (2116)
,Zenith Container Machinery and Engineering Co. Ltd.,A1347,Feed Equipment & Supplies,Mixers (2116)
,Zheng Chang,B35013,Feed Equipment & Supplies,Mixers (2116)
X,Insta-Pro Intl.,A2133,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Amandus Kahl USA,A633,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Anderson International,A3132,Feed Equipment & Supplies,Pelleting Equipment (2117)
,ANDRITZ Feed & Biofuel,A1525,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Bepex,B49018,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Buhler,A2323,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Cone Drive,B43048,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Consolidated Mill Supplies,A1810,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Pelleting Equipment (2117)
,CPM,A1225,Feed Equipment & Supplies,Pelleting Equipment (2117)
,CSE Bliss / Yemmak,A407,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Pelleting Equipment (2117)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Pelleting Equipment (2117)
,HANGZHOU XIAOTENG INDUSTRIES,A2352,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Hillhouse Industrial & Marine,A2463,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Horizon Systems,A501,Feed Equipment & Supplies,Pelleting Equipment (2117)
,JOEST / MOGENSEN,A2454,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Matricir,A1071,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Metalteco,A1800,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Ottevanger,A2927,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Process and Storage Solutions,A1518,Feed Equipment & Supplies,Pelleting Equipment (2117)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Schmalz Inc.,B40043,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Sterling Systems & Controls,A1121,Feed Equipment & Supplies,Pelleting Equipment (2117)
,VANTEC,C19175,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Yangzhou Kerunde Machinery Co. Ltd.,A2350,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Zenith Container Machinery and Engineering Co. Ltd.,A1347,Feed Equipment & Supplies,Pelleting Equipment (2117)
,Zheng Chang,B35013,Feed Equipment & Supplies,Pelleting Equipment (2117)
X,AGI,A1515,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
X,Insta-Pro Intl.,A2133,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
X,Kemin Animal Nutrition& Health,A1825,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
X,Scott Equipment,A1429,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Amandus Kahl USA,A633,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Anderson International,A3132,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,ANDRITZ Feed & Biofuel,A1525,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Bepex,B49018,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Buhler,A2323,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Consolidated Mill Supplies,A1810,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,CPM,A1225,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Cra-Vac Industries,A510,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Halverson Company,A2321,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,HANGZHOU XIAOTENG INDUSTRIES,A2352,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Metalteco,A1800,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Mid-States Companies,A2921,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Norris Thermal Technologies,A1721,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Ottevanger,A2927,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Sicbatch,A2319,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,VANTEC,C19175,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Zenith Container Machinery and Engineering Co. Ltd.,A1347,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
,Zheng Chang,B35013,Feed Equipment & Supplies,Pelleting/Conditioning Equipment & Supplies (2118)
X,APEC,A627,Feed Equipment & Supplies,Pet Food Equipment (2119)
X,Scott Equipment,A1429,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Abel,A2329,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Amandus Kahl USA,A633,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Anderson International,A3132,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Bepex,B49018,Feed Equipment & Supplies,Pet Food Equipment (2119)
,BinMaster,B18021,Feed Equipment & Supplies,Pet Food Equipment (2119)
,BS&B Pressure Safety Mgmt,A411,Feed Equipment & Supplies,Pet Food Equipment (2119)
,BUCHI,A3035,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Buhler,A2323,Feed Equipment & Supplies,Pet Food Equipment (2119)
,BW Packaging,C18169,Feed Equipment & Supplies,Pet Food Equipment (2119)
,CEM Corporation,C28146,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Clivio Solutions,A1500,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Cone Drive,B43048,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Consolidated Mill Supplies,A1810,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Pet Food Equipment (2119)
,CPM,A1225,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Emery Winslow Scale Company,C25143,Feed Equipment & Supplies,Pet Food Equipment (2119)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Flexahopper Plastics,B42051,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Geelen Counterflow,A3033,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Horizon Systems,A501,Feed Equipment & Supplies,Pet Food Equipment (2119)
,JEM International,A622,Feed Equipment & Supplies,Pet Food Equipment (2119)
,JOEST / MOGENSEN,A2454,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Kice Industries,A340,Feed Equipment & Supplies,Pet Food Equipment (2119)
,KSE - The Batching Experts,A3027,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Linde,C42147,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Matiss,A356,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Messer,C23149,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Metalteco,A1800,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Milling and Grain,A1100,Feed Equipment & Supplies,Pet Food Equipment (2119)
,MPI - Magnetic Products Inc.,BC40102,Feed Equipment & Supplies,Pet Food Equipment (2119)
,NETZSCH Pumps USA,B50021,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Nimco Corporation,B45038,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Norris Thermal Technologies,A1721,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Ottevanger,A2927,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Provisur Technologies,C20159,Feed Equipment & Supplies,Pet Food Equipment (2119)
,RMF,C25147,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Ross Industries,C40159,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Saeplast Americas Inc.,B42041,Feed Equipment & Supplies,Pet Food Equipment (2119)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Scan American Corporation,C37139,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Siltec USA Inc.,B39054,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Staubli Robotics,B45069,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Sterling Systems & Controls,A1121,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Sudenga Industries Inc.,A833,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Tietjen Verfahrenstechnik,A3027,Feed Equipment & Supplies,Pet Food Equipment (2119)
,VANTEC,C19175,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Wire Belt Company of America,C27147,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Yangzhou Kerunde Machinery Co. Ltd.,A2350,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Zenith Container Machinery and Engineering Co. Ltd.,A1347,Feed Equipment & Supplies,Pet Food Equipment (2119)
,Zheng Chang,B35013,Feed Equipment & Supplies,Pet Food Equipment (2119)
X,AGI,A1515,Feed Equipment & Supplies,Process Controls (2120)
X,APEC,A627,Feed Equipment & Supplies,Process Controls (2120)
,Amandus Kahl USA,A633,Feed Equipment & Supplies,Process Controls (2120)
,BinMaster,B18021,Feed Equipment & Supplies,Process Controls (2120)
,BS&B Pressure Safety Mgmt,A411,Feed Equipment & Supplies,Process Controls (2120)
,BUCHI,A3035,Feed Equipment & Supplies,Process Controls (2120)
,CEM Corporation,C28146,Feed Equipment & Supplies,Process Controls (2120)
,Comco,A1246,Feed Equipment & Supplies,Process Controls (2120)
,CPM,A1225,Feed Equipment & Supplies,Process Controls (2120)
,CR Crawford Construction,B41023,Feed Equipment & Supplies,Process Controls (2120)
,Datastor-DSL Systems,A1828,Feed Equipment & Supplies,Process Controls (2120)
,DP Techlink,A253,Feed Equipment & Supplies,Process Controls (2120)
,Easy Automation Inc.,A2633,Feed Equipment & Supplies,Process Controls (2120)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Process Controls (2120)
,Evapco Select Technologies,C17173,Feed Equipment & Supplies,Process Controls (2120)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Process Controls (2120)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Process Controls (2120)
,Hillhouse Industrial & Marine,A2463,Feed Equipment & Supplies,Process Controls (2120)
,Horizon Systems,A501,Feed Equipment & Supplies,Process Controls (2120)
,Kice Industries,A340,Feed Equipment & Supplies,Process Controls (2120)
,Knobelsdorff,A2452,Feed Equipment & Supplies,Process Controls (2120)
,KSE - The Batching Experts,A3027,Feed Equipment & Supplies,Process Controls (2120)
,Logos Automation LLC,B50001,Feed Equipment & Supplies,Process Controls (2120)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Process Controls (2120)
,Matiss,A356,Feed Equipment & Supplies,Process Controls (2120)
,Matrix Technologies,A2951,Feed Equipment & Supplies,Process Controls (2120)
,OGI Process Equipment,BC40088,Feed Equipment & Supplies,Process Controls (2120)
,Ottevanger,A2927,Feed Equipment & Supplies,Process Controls (2120)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Process Controls (2120)
,SEW-EURODRIVE,C18189,Feed Equipment & Supplies,Process Controls (2120)
,Sicbatch,A2319,Feed Equipment & Supplies,Process Controls (2120)
,SMC Corporation of America,A360,Feed Equipment & Supplies,Process Controls (2120)
,Sterling Systems & Controls,A1121,Feed Equipment & Supplies,Process Controls (2120)
,Sudenga Industries Inc.,A833,Feed Equipment & Supplies,Process Controls (2120)
,WEM Automation,A1933,Feed Equipment & Supplies,Process Controls (2120)
X,Lone Star Enterprises,A1001,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Amandus Kahl USA,A633,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Anderson International,A3132,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,ANDRITZ Feed & Biofuel,A1525,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Buhler,A2323,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Cone Drive,B43048,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Consolidated Mill Supplies,A1810,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,CPM,A1225,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Halverson Company,A2321,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,JOEST / MOGENSEN,A2454,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Law-Marot-Milpro,A323,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Ottevanger,A2927,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Process and Storage Solutions,A1518,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,RMS Roller-Grinder,A1703,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Southwest Mill Supply Company,A2907,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Sudenga Industries Inc.,A833,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
,Zheng Chang,B35013,Feed Equipment & Supplies,Roller Mills/Expanders (2121)
X,BinSentry,A233,Feed Equipment & Supplies,Scales/Weighing (2122)
X,BinTrac by HerdStar,B18017,Feed Equipment & Supplies,Scales/Weighing (2122)
,Abel,A2329,Feed Equipment & Supplies,Scales/Weighing (2122)
,Agrinnovate Co. Ltd.,B27001,Feed Equipment & Supplies,Scales/Weighing (2122)
,Anritsu Product Inspection,B43033,Feed Equipment & Supplies,Scales/Weighing (2122)
,Bizerba USA Inc.,C33139,Feed Equipment & Supplies,Scales/Weighing (2122)
,Buhler,A2323,Feed Equipment & Supplies,Scales/Weighing (2122)
,Calyx,B34047,Feed Equipment & Supplies,Scales/Weighing (2122)
,Carlisle Technology,B40034,Feed Equipment & Supplies,Scales/Weighing (2122)
,Clivio Solutions,A1500,Feed Equipment & Supplies,Scales/Weighing (2122)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Scales/Weighing (2122)
,CPM,A1225,Feed Equipment & Supplies,Scales/Weighing (2122)
,CTIcontrol,B38062,Feed Equipment & Supplies,Scales/Weighing (2122)
,Emery Winslow Scale Company,C25143,Feed Equipment & Supplies,Scales/Weighing (2122)
,Express Scale Parts & Mfg.,A1110,Feed Equipment & Supplies,Scales/Weighing (2122)
,FAMSUN Co. Ltd.,A2717,Feed Equipment & Supplies,Scales/Weighing (2122)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Scales/Weighing (2122)
,GEAVE,C19175,Feed Equipment & Supplies,Scales/Weighing (2122)
,Hangzhou Dinacell Electronica,B24008,Feed Equipment & Supplies,Scales/Weighing (2122)
,High Tek USA,B46019,Feed Equipment & Supplies,Scales/Weighing (2122)
,Hillhouse Industrial & Marine,A2463,Feed Equipment & Supplies,Scales/Weighing (2122)
,Horizon Systems,A501,Feed Equipment & Supplies,Scales/Weighing (2122)
,Hotraco Agri,B7019,Feed Equipment & Supplies,Scales/Weighing (2122)
,Intelia,B13005,Feed Equipment & Supplies,Scales/Weighing (2122)
,JEM International,A622,Feed Equipment & Supplies,Scales/Weighing (2122)
,KSE - The Batching Experts,A3027,Feed Equipment & Supplies,Scales/Weighing (2122)
,Law-Marot-Milpro,A323,Feed Equipment & Supplies,Scales/Weighing (2122)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Scales/Weighing (2122)
,Metalteco,A1800,Feed Equipment & Supplies,Scales/Weighing (2122)
,METTLER TOLEDO,C24159,Feed Equipment & Supplies,Scales/Weighing (2122)
,Michelli Weighing & Measurement,BC34099,Feed Equipment & Supplies,Scales/Weighing (2122)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Scales/Weighing (2122)
,Nanolike,B28049,Feed Equipment & Supplies,Scales/Weighing (2122)
,Orka Food Technology,A1137,Feed Equipment & Supplies,Scales/Weighing (2122)
,Ottevanger,A2927,Feed Equipment & Supplies,Scales/Weighing (2122)
,Potters Poultry International,B10040,Feed Equipment & Supplies,Scales/Weighing (2122)
,Premier Tech,C28165,Feed Equipment & Supplies,Scales/Weighing (2122)
,Process and Storage Solutions,A1518,Feed Equipment & Supplies,Scales/Weighing (2122)
,Rice Lake Weighing Systems,C28195,Feed Equipment & Supplies,Scales/Weighing (2122)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Scales/Weighing (2122)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Scales/Weighing (2122)
,Sicbatch,A2319,Feed Equipment & Supplies,Scales/Weighing (2122)
,SLIPNOT,B40075,Feed Equipment & Supplies,Scales/Weighing (2122)
,Sterling Systems & Controls,A1121,Feed Equipment & Supplies,Scales/Weighing (2122)
,Sudenga Industries Inc.,A833,Feed Equipment & Supplies,Scales/Weighing (2122)
,Tom-Cin Metals Inc.,A1820,Feed Equipment & Supplies,Scales/Weighing (2122)
,VAL-CO,B10021,Feed Equipment & Supplies,Scales/Weighing (2122)
,VANTEC,C19175,Feed Equipment & Supplies,Scales/Weighing (2122)
,Warrior Mfg.,A2114,Feed Equipment & Supplies,Scales/Weighing (2122)
,Weltech International,B10048,Feed Equipment & Supplies,Scales/Weighing (2122)
,WIPOTEC,C23189,Feed Equipment & Supplies,Scales/Weighing (2122)
,Zheng Chang,B35013,Feed Equipment & Supplies,Scales/Weighing (2122)
X,Lone Star Enterprises,A1001,Feed Equipment & Supplies,Screeners/Separators (2123)
X,Scott Equipment,A1429,Feed Equipment & Supplies,Screeners/Separators (2123)
,ANDRITZ Feed & Biofuel,A1525,Feed Equipment & Supplies,Screeners/Separators (2123)
,BM&M Screening Solutions,A1514,Feed Equipment & Supplies,Screeners/Separators (2123)
,Consolidated Mill Supplies,A1810,Feed Equipment & Supplies,Screeners/Separators (2123)
,Continental Agra Equipment,A1415,Feed Equipment & Supplies,Screeners/Separators (2123)
,CPM,A1225,Feed Equipment & Supplies,Screeners/Separators (2123)
,EBM Manufacturing,A1917,Feed Equipment & Supplies,Screeners/Separators (2123)
,Electro-Sensors Inc.,A618,Feed Equipment & Supplies,Screeners/Separators (2123)
,Ferraz Maquinas e Eng.,A429,Feed Equipment & Supplies,Screeners/Separators (2123)
,Halverson Company,A2321,Feed Equipment & Supplies,Screeners/Separators (2123)
,JOEST / MOGENSEN,A2454,Feed Equipment & Supplies,Screeners/Separators (2123)
,Kice Industries,A340,Feed Equipment & Supplies,Screeners/Separators (2123)
,Komline,A213,Feed Equipment & Supplies,Screeners/Separators (2123)
,Law-Marot-Milpro,A323,Feed Equipment & Supplies,Screeners/Separators (2123)
,Matador Industrial Co.,A2201,Feed Equipment & Supplies,Screeners/Separators (2123)
,Metalteco,A1800,Feed Equipment & Supplies,Screeners/Separators (2123)
,Midwest Custom Engineering,A3006,Feed Equipment & Supplies,Screeners/Separators (2123)
,Ottevanger,A2927,Feed Equipment & Supplies,Screeners/Separators (2123)
,Process and Storage Solutions,A1518,Feed Equipment & Supplies,Screeners/Separators (2123)
,Riverdale Mills Corporation,B33055,Feed Equipment & Supplies,Screeners/Separators (2123)
,SANGATI BERGA SA,A342,Feed Equipment & Supplies,Screeners/Separators (2123)
,Shanghai Welland International,A2418,Feed Equipment & Supplies,Screeners/Separators (2123)
,Southwest Mill Supply Company,A2907,Feed Equipment & Supplies,Screeners/Separators (2123)
,VANTEC,C19175,Feed Equipment & Supplies,Screeners/Separators (2123)
,Warrior Mfg.,A2114,Feed Equipment & Supplies,Screeners/Separators (2123)
X,DPI GLOBAL,A1536,Feed Types,Aquaculture (2201)
X,dsm-firmenich,A1233,Feed Types,Aquaculture (2201)
X,International Nutrition,A1925,Feed Types,Aquaculture (2201)
,ABRA Brazilian Renderers Assn,B25013,Feed Types,Aquaculture (2201)
,ACTIPRO - VEOS GROUP,A419,Feed Types,Aquaculture (2201)
,ADDIX,B25049,Feed Types,Aquaculture (2201)
,Advanced Ag Products,A1450,Feed Types,Aquaculture (2201)
,AgPack,A422,Feed Types,Aquaculture (2201)
,Agromed Austria GmbH,A1247,Feed Types,Aquaculture (2201)
,Angel Yeast,A2621,Feed Types,Aquaculture (2201)
,Baja Agro International,A1236,Feed Types,Aquaculture (2201)
,Baker-Rullman Mfg.,A1911,Feed Types,Aquaculture (2201)
,Balchem Corporation,A1002,Feed Types,Aquaculture (2201)
,Berg + Schmidt America LLC,A562,Feed Types,Aquaculture (2201)
,Brookside Agra,A1130,Feed Types,Aquaculture (2201)
,Changli Limited,A1801,Feed Types,Aquaculture (2201)
,Comco,A1246,Feed Types,Aquaculture (2201)
,CTCBIO INC.,A343,Feed Types,Aquaculture (2201)
,Dostofarm,A849,Feed Types,Aquaculture (2201)
,Dr. Eckel Animal Nutrition,A2461,Feed Types,Aquaculture (2201)
,Essence Natura Pvt Ltd.,A563,Feed Types,Aquaculture (2201)
,Fine Organics,A2911,Feed Types,Aquaculture (2201)
,GEAVE,C19175,Feed Types,Aquaculture (2201)
,Guangzhou Wisdom,A644,Feed Types,Aquaculture (2201)
,Halverson Company,A2321,Feed Types,Aquaculture (2201)
,Igusol Advance,A443,Feed Types,Aquaculture (2201)
,Intracare BV,A1352,Feed Types,Aquaculture (2201)
,Lallemand Animal Nutrition,B34043,Feed Types,Aquaculture (2201)
,Micro Tracers,A1411,Feed Types,Aquaculture (2201)
,Milling and Grain,A1100,Feed Types,Aquaculture (2201)
,Nanchang Lifeng,A2742,Feed Types,Aquaculture (2201)
,NOREL Animal Nutrition,A1845,Feed Types,Aquaculture (2201)
,NOR-FEED,A801,Feed Types,Aquaculture (2201)
,nuance biotechnology,A3017,Feed Types,Aquaculture (2201)
,Phileo by Lesaffre,A1143,Feed Types,Aquaculture (2201)
,Phodé,A419,Feed Types,Aquaculture (2201)
,Platinum Chemicals,A2138,Feed Types,Aquaculture (2201)
,Poultry Protein & Fat Council,A312,Feed Types,Aquaculture (2201)
,Probiotech International Inc.,A2654,Feed Types,Aquaculture (2201)
,Probyn International,A1015,Feed Types,Aquaculture (2201)
,RD Lifesciences LLC,A1056,Feed Types,Aquaculture (2201)
,Repete Corporation,A1532,Feed Types,Aquaculture (2201)
,S K Biobiz Pvt Ltd.,A2647,Feed Types,Aquaculture (2201)
,Safeeds,B26007,Feed Types,Aquaculture (2201)
,Sanex Industria e Comercio,B25007,Feed Types,Aquaculture (2201)
,Soldier Fly Technologies,A463,Feed Types,Aquaculture (2201)
,Sorghum Checkoff,A1840,Feed Types,Aquaculture (2201)
,TECHNA,A418,Feed Types,Aquaculture (2201)
,Trans Globe,A2217,Feed Types,Aquaculture (2201)
,VEMO Corp.,A2153,Feed Types,Aquaculture (2201)
,Vetagro,A848,Feed Types,Aquaculture (2201)
,WEM Automation,A1933,Feed Types,Aquaculture (2201)
,White River Nutrition,A3110,Feed Types,Aquaculture (2201)
,WISHH,A1817,Feed Types,Aquaculture (2201)
,Yara Animal Nutrition,A1160,Feed Types,Aquaculture (2201)
,Zhejiang Keyland Pharma,A904,Feed Types,Aquaculture (2201)
,Zheng Chang,B35013,Feed Types,Aquaculture (2201)
X,DPI GLOBAL,A1536,Feed Types,Beef (2202)
X,dsm-firmenich,A1233,Feed Types,Beef (2202)
X,International Nutrition,A1925,Feed Types,Beef (2202)
X,JH Biotech Inc.,A1260,Feed Types,Beef (2202)
X,Novonesis,A621,Feed Types,Beef (2202)
X,O&T Farms,A1812,Feed Types,Beef (2202)
X,Trouw Nutrition,A823,Feed Types,Beef (2202)
,A/B Technologies (ABT),A1836,Feed Types,Beef (2202)
,ABRA Brazilian Renderers Assn,B25013,Feed Types,Beef (2202)
,Advanced Ag Products,A1450,Feed Types,Beef (2202)
,AgPack,A422,Feed Types,Beef (2202)
,Agromed Austria GmbH,A1247,Feed Types,Beef (2202)
,Amuco Inc.,A1939,Feed Types,Beef (2202)
,Angel Yeast,A2621,Feed Types,Beef (2202)
,AsiaPalm Oleo Jaya,A245,Feed Types,Beef (2202)
